group,team,avg_points,points_2nd_pct,points_97th_pct
A,Czech Republic,3,0,6
A,Mexico,6,3,9
A,South Africa,2,0,4
A,South Korea,5,3,9
B,Bosnia and Herzegovina,4,1,7
B,Canada,5,2,7
B,Qatar,2,1,5
B,Switzerland,5,2,7
C,Brazil,5,3,7
C,Haiti,0,0,3
C,Morocco,5,2,7
C,Scotland,5,3,9
D,Australia,6,3,9
D,Paraguay,2,0,6
D,Turkey,3,0,6
D,United States,5,3,9
E,Curacao,1,0,3
E,Ecuador,4,1,6
E,Germany,7,3,9
E,Ivory Coast,5,3,7
F,Japan,4,2,7
F,Netherlands,4,2,7
F,Sweden,4,3,7
F,Tunisia,2,0,4
G,Belgium,4,1,7
G,Egypt,4,1,7
G,Iran,3,1,7
G,New Zealand,3,1,7
H,Cape Verde,3,1,7
H,Saudi Arabia,2,1,4
H,Spain,5,3,7
H,Uruguay,5,2,7
I,France,7,5,9
I,Iraq,0,0,3
I,Norway,6,3,9
I,Senegal,3,0,6
J,Algeria,6,3,9
J,Argentina,7,4,9
J,Austria,5,3,7
J,Jordan,2,0,4
K,Colombia,7,4,9
K,DR Congo,3,1,5
K,Portugal,5,1,7
K,Uzbekistan,2,0,4
L,Croatia,4,1,6
L,England,7,5,9
L,Ghana,3,3,6
L,Panama,2,0,4
