group,team,rating,points
H,Spain,2134,4
J,Argentina,2144,6
I,France,2090,6
L,England,2028,4
K,Colombia,2006,6
C,Brazil,1986,4
K,Portugal,1988,4
F,Netherlands,1972,4
E,Germany,1954,6
I,Norway,1951,6
F,Japan,1925,4
A,Mexico,1896,6
E,Ecuador,1864,1
L,Croatia,1896,3
G,Belgium,1869,2
H,Uruguay,1851,2
B,Switzerland,1885,4
J,Austria,1841,3
C,Morocco,1866,4
D,Turkey,1813,0
D,Australia,1799,3
I,Senegal,1817,0
C,Scotland,1768,3
D,Paraguay,1816,3
D,United States,1820,6
A,South Korea,1771,3
B,Canada,1777,4
J,Algeria,1780,3
G,Iran,1766,2
F,Sweden,1727,3
E,Ivory Coast,1728,3
A,Czech Republic,1696,1
G,Egypt,1740,4
K,Uzbekistan,1677,0
L,Panama,1668,0
K,DR Congo,1666,1
J,Jordan,1632,0
B,Bosnia and Herzegovina,1596,1
H,Cape Verde,1625,2
H,Saudi Arabia,1593,1
I,Iraq,1586,0
F,Tunisia,1570,0
G,New Zealand,1549,1
L,Ghana,1584,4
C,Haiti,1528,0
A,South Africa,1527,1
B,Qatar,1437,1
E,Curacao,1453,1
